date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_passing_accuracy,away_passing_accuracy,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_passing_accuracy_pct,away_passing_accuracy_pct,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner
2025-10-01,Villarreal,Juventus,2–2,Estadio de la Cerámica,István Kovács,46%,54%,326 of 418,411 of 495,6 of 17,4 of 13,2 of 4,4 of 6,78.0,83.0,35.3,30.8,50.0,66.7,Draw,Draw
,,,,,,,,,,,,,,,,,,,,,
2025-10-21,Barcelona,Olympiacos,6–1,Estadi Olímpic Lluís Companys,Urs Schnyder,72%,28%,622 of 698,183 of 278,6 of 13,1 of 4,1 of 1,1 of 6,89.1,65.8,46.2,25.0,100.0,16.7,Home Win,Barcelona
2025-10-21,Newcastle Utd,Benfica,3–0,St James' Park,Szymon Marciniak,52%,48%,379 of 461,337 of 426,10 of 19,2 of 7,2 of 2,7 of 10,82.2,79.1,52.6,28.6,100.0,70.0,Home Win,Newcastle Utd
2025-10-21,Arsenal,Atlético Madrid,4–0,Emirates Stadium,Davide Massa,51%,49%,399 of 460,356 of 434,8 of 19,1 of 11,1 of 1,4 of 8,86.7,82.0,42.1,9.1,100.0,50.0,Home Win,Arsenal
2025-10-21,Leverkusen,Paris S-G,2–7,BayArena,Jesús Gil,30%,70%,283 of 335,745 of 796,2 of 4,8 of 24,1 of 8,1 of 2,84.5,93.6,50.0,33.3,12.5,50.0,Away Win,Paris S-G
2025-10-21,PSV Eindhoven,Napoli,6–2,Philips Stadion,Daniel Siebert,59%,41%,469 of 546,305 of 384,8 of 19,2 of 10,0 of 2,3 of 8,85.9,79.4,42.1,20.0,0.0,37.5,Home Win,PSV Eindhoven
2025-10-21,Villarreal,Manchester City,0–2,Estadio de la Cerámica,Serdar Gözübüyük,34%,66%,301 of 366,639 of 697,2 of 11,7 of 10,5 of 7,2 of 2,82.2,91.7,18.2,70.0,71.4,100.0,Away Win,Manchester City
2025-10-21,Union SG,Inter,0–4,Lotto Park,Glenn Nyberg,31%,69%,252 of 321,647 of 719,5 of 15,6 of 20,3 of 6,5 of 5,78.5,90.0,33.3,30.0,50.0,100.0,Away Win,Inter
2025-10-21,FC Copenhagen,Dortmund,2–4,Parken,Danny Makkelie,36%,64%,286 of 371,556 of 667,4 of 11,4 of 8,1 of 4,3 of 4,77.1,83.4,36.4,50.0,25.0,75.0,Away Win,Dortmund
2025-10-21,Qaırat Almaty,Pafos FC,0–0,Ortalıq Stadion,Chris Kavanagh,68%,32%,501 of 610,183 of 287,2 of 22,5 of 9,5 of 5,2 of 2,82.1,63.8,9.1,55.6,100.0,100.0,Draw,Draw
2025-10-22,Athletic Club,Qarabağ,3–1,San Mamés,Igor Pajač,60%,40%,444 of 538,266 of 366,5 of 21,3 of 9,2 of 3,2 of 5,82.5,72.7,23.8,33.3,66.7,40.0,Home Win,Athletic Club
2025-10-22,Galatasaray,Bodø/Glimt,3–1,RAMS Park,Michael Oliver,39%,61%,325 of 399,540 of 633,11 of 23,2 of 8,1 of 2,8 of 11,81.5,85.3,47.8,25.0,50.0,72.7,Home Win,Galatasaray
2025-10-22,Sporting CP,Marseille,2–1,Estádio José Alvalade,Rade Obrenović,53%,47%,418 of 507,376 of 454,7 of 14,3 of 10,2 of 3,5 of 7,82.4,82.8,50.0,30.0,66.7,71.4,Home Win,Sporting CP
2025-10-22,Chelsea,Ajax,5–1,Stamford Bridge,Felix Zwayer,65%,35%,570 of 632,262 of 341,8 of 20,0 of 1,0 of 0,5 of 8,90.2,76.8,40.0,0.0,,62.5,Home Win,Chelsea
2025-10-22,Bayern Munich,Club Brugge,4–0,Allianz Arena,Donatas Rumšas,63%,37%,686 of 756,385 of 441,11 of 26,2 of 5,2 of 2,7 of 11,90.7,87.3,42.3,40.0,100.0,63.6,Home Win,Bayern Munich
2025-10-22,Atalanta,Slavia Prague,0–0,New Balance Arena,Ricardo de Burgos,56%,44%,334 of 463,241 of 360,5 of 22,4 of 16,4 of 4,5 of 5,72.1,66.9,22.7,25.0,100.0,100.0,Draw,Draw
